A_id,A_statement,Best_B_id,Best_B_statement,cosine_similarity
A230,Butte des Morts Elementary 501 Tayco St Menasha,B233,Butte Des Morts Elementary 501 Tayco St Menasha,1.0000002
A289,Chavez Learning Station 6300 27th Ave Kenosha,B300,Chavez Learning Station 6300 27th Ave Kenosha,1.0000002
A621,Fox River Academy 1000 S Mason St Appleton,B611,Fox River Academy 1000 S Mason St Appleton,1.0000002
A747,Harborside Academy 913 57th St Kenosha,B746,Harborside Academy 913 57th St Kenosha,1.0000002
A922,Kaleidoscope Academy 318 E Brewster St Appleton,B930,Kaleidoscope Academy 318 E Brewster St Appleton,1.0000002
A1156,Marshall Early Learning Center 369 School St Marshall,B1154,Marshall Early Learning Center 369 School St Marshall,1.0000002
A1222,Milele Chikasa Anana Elementary School 6323 Woodington Way Madison,B1225,Milele Chikasa Anana Elementary School 6323 Woodington Way Madison,1.0000002
A1333,New Visions Charter School 220 E South St Lake Geneva,B1331,New Visions Charter School 220 E South St Lake Geneva,1.0000002
A1336,Niagara Elementary 700 Jefferson Ave Niagara,B1338,Niagara Elementary 700 Jefferson Ave Niagara,1.0000002
A1741,School of Technology and Arts I 1111 7th St S La Crosse,B1745,School Of Technology And Arts I 1111 7th St S La Crosse,1.0000002
A2,4K Center for Literacy 614 E Kimberly Ave Kimberly,B2,4k Center For Literacy 614 E Kimberly Ave Kimberly,1.0000001
A31,Algoma Venture Academy 1715 Division St Algoma,B28,Algoma Venture Academy 1715 Division St Algoma,1.0000001
A61,Appleton Technical Academy 610 N Badger Ave Appleton,B58,Appleton Technical Academy 610 N Badger Ave Appleton,1.0000001
A173,Bluff View Elementary 1901 E Wells St Prairie du Chien,B179,Bluff View Elementary 1901 E Wells St Prairie Du Chien,1.0000001
A175,Bobcat Virtual Academy 300 S Wilson St Birchwood,B181,Bobcat Virtual Academy 300 S Wilson St Birchwood,1.0000001
A213,Brown Street Academy 2029 N 20th St Milwaukee,B216,Brown Street Academy 2029 N 20th St Milwaukee,1.0000001
A251,Capital High 3802 Regent St Madison,B254,Capital High 3802 Regent St Madison,1.0000001
A281,Central Oaks Academy 311 Lincoln Street Wisconsin Rapids,B293,Central Oaks Academy 311 Lincoln Street Wisconsin Rapids,1.0000001
A360,Coulee Montessori Charter School 1611 Kane St La Crosse,B391,Coulee Montessori Charter School 1611 Kane St La Crosse,1.0000001
A366,Craig Montessori School 7667 W Congress St Milwaukee,B396,Craig Montessori School 7667 W Congress St Milwaukee,1.0000001
A564,Escuela Verde 3628 W Pierce St Milwaukee,B557,Escuela Verde 3628 W Pierce St Milwaukee,1.0000001
A624,Fox West Academy 220 Warner St Hortonville,B614,Fox West Academy 220 Warner St Hortonville,1.0000001
A741,Hamilton Elementary School 1111 7th St S La Crosse,B741,Hamilton Elementary School 1111 7th St S La Crosse,1.0000001
A788,Hillcrest School 4616 24th St Kenosha,B786,Hillcrest School 4616 24th St Kenosha,1.0000001
A804,Honor Intermediate N3501 County Road P Rubicon,B808,Honor Intermediate N3501 County Road P Rubicon,1.0000001
A905,John Dewey Academy of Learning 701 Cherry Street Green Bay,B909,John Dewey Academy Of Learning 701 Cherry Street Green Bay,1.0000001
